ID,Label,Area,Perimeter,X,Y,Width,Height,Circularity,Compactness,Convexity
1,BEAD,11506.5,428.4,300,61,132,146,0.788,15.95,1.047
2,BEAD,11922.5,437.3,61,120,152,107,0.784,16.04,1.055
3,BEAD,12188.5,439.4,310,240,151,94,0.793,15.84,1.043
4,BEAD,12921.0,451.4,65,275,150,148,0.797,15.77,1.036
1,CIRCLE,24772.5,593.4,113,67,178,184,0.884,14.21,1.055
2,CIRCLE,24650.5,588.4,368,86,178,179,0.895,14.04,1.052
3,CIRCLE,24891.0,591.8,287,271,180,180,0.893,14.07,1.052
4,CIRCLE,25764.0,603.5,28,278,184,183,0.889,14.14,1.054
1,DIAMOND,27318.0,749.1,423,23,157,308,0.612,20.54,1.042
2,DIAMOND,26178.0,737.3,91,35,273,164,0.605,20.76,1.044
3,DIAMOND,28337.0,787.8,8,208,205,260,0.574,21.90,1.070
4,DIAMOND,26206.5,747.0,271,284,253,188,0.590,21.29,1.065
1,KNOB,11530.0,562.3,111,44,150,151,0.458,27.42,1.198
2,KNOB,11490.5,566.4,326,64,158,148,0.450,27.92,1.198
3,KNOB,11680.0,545.5,69,255,150,150,0.493,25.47,1.177
4,KNOB,11853.0,573.8,363,284,155,155,0.452,27.78,1.197
1,SQUARE,24368.5,659.7,381,16,197,199,0.704,17.86,1.078
2,SQUARE,24118.5,650.2,182,22,183,186,0.717,17.53,1.064
3,SQUARE,25975.5,672.4,18,185,193,190,0.722,17.40,1.066
4,SQUARE,24474.0,659.4,262,252,211,215,0.707,17.76,1.065
